Calendar Date,Magnitude
1999-01-25 03:43:03,3.6
1999-01-25 00:09:56,3.9
1999-01-24 19:00:02,3.9
1999-01-24 17:08:09,3.7
1999-01-24 00:00:00,3.76
1999-01-23 18:00:00,3.6
1999-01-23 16:48:00,3.8
1999-01-23 02:24:00,4.4
1999-01-23 00:09:04,4.5
1999-01-22 23:51:21,4.25
1999-01-22 22:13:26,4.20
1999-01-22 18:16:59,4.3
1999-01-22 18:14:58,4.1
1999-01-22 02:09:36,4.2
1999-01-22 01:42:57,4.0
1999-01-21 23:29:54,4.14
1999-01-21 22:17:45,4.10
1999-01-21 18:06:02,3.6
1999-01-21 16:45:07,4.1
1999-01-21 07:15:01,3.8
1999-01-21 03:50:24,4.2
1999-01-21 02:24:00,3.5
1999-01-21 00:47:57,3.8
1999-01-21 00:00:00,3.9
1999-01-20 23:45:36,4.4
1999-01-20 23:02:24,4.4
1999-01-20 22:36:28,3.80
1999-01-20 07:35:02,3.7
1999-01-20 02:52:48,3.9
1999-01-20 00:12:57,3.8
1999-01-20 00:00:00,3.7
1999-01-19 23:31:12,3.7
1999-01-19 22:39:56,3.6
1999-01-19 22:09:07,3.60
1999-01-19 21:36:00,3.7
1999-01-19 16:59:57,3.5
1999-01-19 16:52:19,3.7
1999-01-19 02:24:00,3.6
1999-01-19 02:09:36,3.6
1999-01-19 00:09:56,3.7
1999-01-19 00:02:00,3.9
1999-01-18 16:48:00,4.2
1999-01-18 04:45:07,4.1
1999-01-18 02:24:00,4.4
1999-01-17 23:16:48,4.5
1999-01-17 22:48:00,4.4
1999-01-17 22:40:56,3.96
1999-01-17 22:22:04,4.20
1999-01-17 21:14:58,4.14
1999-01-17 17:10:01,4.1
1999-01-17 17:05:16,4.2
1999-01-17 02:09:36,4.4
1999-01-17 01:40:48,4.3
1999-01-17 00:45:04,4.0
1999-01-17 00:33:07,4.20
1999-01-17 00:00:00,4.3
1999-01-16 23:16:48,4.4
1999-01-16 21:14:58,4.14
1999-01-16 16:48:00,4.2
1999-01-16 06:34:59,3.88
1999-01-16 02:32:03,3.2
1999-01-16 01:55:12,3.9
1999-01-15 17:21:59,3.8
1999-01-15 02:24:00,4.0
1999-01-15 00:05:02,4.1
1999-01-14 22:35:02,3.70
1999-01-14 19:41:31,3.7
1999-01-14 17:33:04,3.9
1999-01-14 16:48:00,3.8
1999-01-14 06:12:57,3.9
1999-01-14 05:19:58,3.6
1999-01-13 20:19:58,3.49
1999-01-13 19:51:27,3.5
1999-01-13 16:48:00,3.7
1999-01-13 01:55:12,4.1
1999-01-12 22:48:00,4.1
1999-01-12 21:59:54,3.98
1999-01-12 20:19:58,4.29
1999-01-12 18:34:33,4.2
1999-01-12 04:37:55,4.1
1999-01-12 00:00:00,3.8
1999-01-11 23:45:36,3.9
1999-01-11 21:16:42,4.1
1999-01-11 18:59:54,4.19
1999-01-11 03:24:28,4.1
1999-01-11 03:21:36,4.0
1999-01-11 00:57:36,3.8
1999-01-11 00:50:24,4.2
1999-01-11 00:00:00,3.9
1999-01-10 21:36:00,3.8
1999-01-10 20:37:58,4.1
1999-01-10 18:44:55,4.14
1999-01-10 17:04:59,4.0
1999-01-10 16:48:00,3.8
1999-01-10 01:30:00,3.9
1999-01-09 21:19:52,3.76
1999-01-09 18:01:00,4.0
1999-01-09 16:48:00,3.7
1999-01-09 06:00:00,3.49
1999-01-09 03:07:12,3.6
1999-01-09 00:57:01,3.8
1999-01-08 23:02:24,3.8
1999-01-08 22:06:14,3.50
1999-01-08 16:48:00,3.8
1999-01-08 03:07:12,3.4
1999-01-08 03:01:26,3.5
1999-01-08 01:55:12,3.7
1999-01-08 00:00:00,3.8
1999-01-07 23:16:48,3.6
1999-01-07 23:02:24,4.0
1999-01-07 22:22:04,3.70
1999-01-07 16:48:00,4.1
1999-01-07 04:59:57,3.88
1999-01-07 04:48:00,4.1
1999-01-07 01:03:21,4.25
1999-01-07 00:00:00,3.8
1999-01-06 22:55:12,4.25
1999-01-06 17:06:43,4.2
1999-01-06 03:14:24,4.1
1999-01-06 03:07:12,4.0
1999-01-06 02:24:00,4.1
1999-01-06 01:55:03,4.2
1999-01-06 01:23:31,4.20
1999-01-06 00:00:00,4.1
1999-01-05 23:31:12,3.7
1999-01-05 22:33:36,4.3
1999-01-05 18:56:00,4.0
1999-01-05 18:36:00,4.1
1999-01-05 17:38:58,4.2
1999-01-05 03:53:16,3.9
1999-01-05 03:50:24,3.6
1999-01-05 01:55:12,4.1
1999-01-05 00:00:00,3.9
1999-01-04 23:50:03,4.1
1999-01-04 23:45:36,3.8
1999-01-04 23:19:58,4.3
1999-01-04 22:26:24,3.90
1999-01-04 20:31:55,4.05
1999-01-04 18:19:52,3.98
1999-01-04 17:08:09,3.9
1999-01-04 17:08:00,4.1
1999-01-03 23:50:03,3.9
1999-01-03 18:45:04,3.7
1999-01-03 17:36:57,4.0
1999-01-03 16:48:00,3.7
1999-01-03 05:00:57,3.5
1999-01-03 03:17:16,3.40
1999-01-03 02:24:00,3.9
1999-01-03 01:40:48,3.7
1999-01-03 00:23:02,3.35
1999-01-02 21:51:50,3.40
1999-01-02 18:29:57,3.49
1999-01-02 16:35:02,3.8
1999-01-02 03:27:21,4.0
1999-01-02 03:21:36,4.0
1999-01-02 00:00:00,4.1
1999-01-01 23:58:33,4.4
1999-01-01 17:56:58,4.2
1999-01-01 02:33:04,3.9
1999-01-01 02:29:45,4.20
1999-01-01 01:55:12,4.3
